demo_imgname	userinput	expandprompt	aspectratio			
camera_1_0	Street style closeup photo of a woman, film shot, natural lighting 	Closeup street style photo of a woman, capturing intricate details of her face and expressions. The film-inspired aesthetic lends a grainy texture to the image, enhancing its nostalgic charm. Natural sunlight softly illuminates her features, accentuating the contours of her face and casting gentle shadows. Her eyes carry a hint of mystery, and her lips are slightly parted, perhaps mid-conversation. Subtle makeup enhances her natural beauty without overshadowing it. The backdrop, though blurred, gives a hint of the urban environment around her. The combination of the vintage film look with the woman's contemporary style creates a captivating portrait of modern elegance.	wide			
camera_2_0	Street style bird-eye-view photo of a woman, film shot, natural lighting 	Bird-eye-view street style photo capturing a woman from directly above as she walks along a city street. The film-inspired aesthetic adds a layer of grain and richness to the image. Sunlight, filtered through the buildings, casts intricate shadows on the pavement, contrasting with patches of light. The woman, at the center of the frame, is adorned in modern urban attire, her shadow elongating beneath her. Around her, the city's textures – cobblestones, crosswalks, and street markings – form a mesmerizing pattern. The vintage film ambiance of the photo, combined with the contemporary fashion of the woman, creates a fusion of the old and the new.	wide			
camera_3_0	Street style eye-level photo of a woman, film shot, natural lighting 	Eye-level street style photo capturing a woman as she confidently navigates the urban environment. The film-inspired aesthetic is evident through the grainy texture and warm color tones, giving the image an authentic vintage feel. Natural sunlight bathes the scene, highlighting the woman's features and casting soft, diffused shadows around her. She's dressed in modern, chic attire, perfectly complementing the bustling cityscape backdrop. Storefronts, pedestrians, and urban elements form the backdrop, adding depth and context to the image. The harmonious blend of the filmic vibe with the woman's contemporary fashion creates a timeless snapshot of city life.	wide			
camera_4_0	Street style low-angle photo from below of a woman, film shot, natural lighting 	Low-angle street style photo capturing a woman as viewed from below, emphasizing her stature and the surrounding urban environment. The film-inspired graininess adds depth and a touch of nostalgia to the scene. Natural sunlight filters between buildings, casting a warm glow on her, highlighting the textures of her outfit, and creating elongated shadows on the ground. Her attire speaks volumes of modern urban fashion, with every detail meticulously chosen. As she strides forward, her gaze might be directed towards something in the distance or lost in thought. The surrounding city elements, such as storefronts and passersby, blend into the background, putting her at the forefront. This composition marries the charm of old cinema with the vibrancy of contemporary street style.	wide			
camera_5_0	Street style side-angle photo from below of a woman, film shot, natural lighting 	Side-angle street style photo capturing a woman, emphasizing her stature and the surrounding urban environment. The film-inspired graininess adds depth and a touch of nostalgia to the scene. Natural sunlight filters between buildings, casting a warm glow on her, highlighting the textures of her outfit, and creating elongated shadows on the ground. Her attire speaks volumes of modern urban fashion, with every detail meticulously chosen. As she strides forward, her gaze might be directed towards something in the distance or lost in thought. The surrounding city elements, such as storefronts and passersby, blend into the background, putting her at the forefront. This composition marries the charm of old cinema with the vibrancy of contemporary street style.	wide			
camera_6_0	Street style, a woman, fish-eye lens, photography, natural lighting 	Street style photography captures a woman through the distinctive perspective of a fish-eye lens. This unique lens effect exaggerates the field of view, bending the surroundings in a circular fashion and placing the woman at the center. The urban elements around her, such as buildings and streets, curve dramatically, drawing the viewer's eye inward. Despite the distortion, the woman's fashion and presence are unmistakably modern and urban. Natural lighting enhances the scene, casting a luminous glow on her and emphasizing the warped cityscape's contours. Her attire stands out, reflecting contemporary trends while adapting to the lens's curvature. This image is a fusion of modern street style and the artistic flair of fish-eye photography, creating a visually striking and memorable composition.	wide			
camera_7_0	Street style, a woman, wide angle lens, photography, natural lighting  	Street style photography captures a woman using a wide-angle lens, creating a dynamic and expansive perspective set against the urban landscape. The wide-angle lens offers a broader field of view, encapsulating not only the woman but also a vast portion of the city around her. The curvature and distortion typical of this lens add an artistic flair, exaggerating the depth and scale of the scene. Natural lighting bathes the entire setting, emphasizing the contours of buildings, streets, and her figure. The woman, dressed in contemporary urban fashion, stands confidently, her presence magnified amidst the stretched city backdrop. This image is a vibrant blend of modern street style and the dramatic effect of wide-angle photography, offering a fresh perspective on city life.	wide			
camera_8_0	Street style, a woman, slow shutter speed, photography, night 	In the heart of the city at night, a street style photograph captures a woman using a slow shutter speed. The prolonged exposure creates a mesmerizing play of light trails, perhaps from passing cars or neon signs, wrapping around her form in a dance of luminescence. The woman stands as a semi-still figure amidst this dynamic light display, her attire reflecting the modern urban fashion. The slow shutter speed adds a ghostly, ethereal quality to her movement, making her appear as if she's drifting through the city's nocturnal pulse. Ambient city lights, street lamps, and storefronts cast a moody glow, contrasting with the deeper shadows and creating a rich tapestry of light and dark. This image is a poetic blend of contemporary style and the enchanting allure of night-time photography.	wide			
camera_9_0	Street style, a woman, fast shutter speed, photography, night 	Using a fast shutter speed, this street style photography captures a fleeting moment of a woman amidst the hustle and bustle of urban life. The quick shutter freezes her motion, rendering every detail with crisp precision, be it the sway of her hair, the ripple of her clothing, or the dynamic posture of her stride. The natural lighting enhances the clarity and depth of the image, casting sharp shadows and highlighting the textures of her outfit. Surrounding elements, perhaps moving vehicles or pedestrians, are also caught in this still frame, but she remains the undeniable focal point. Her attire, reflecting contemporary urban fashion, stands out vividly against the city backdrop. This image offers a snapshot of city life, where the transient becomes permanent through the artistry of fast shutter speed photography.	wide			
camera_10_0	Street style, a woman, instant camera, photography, night 	Set against the backdrop of the city's nocturnal ambiance, a street style photograph captures a woman as if taken through an instant camera. The image exudes the characteristic vintage charm and graininess of instant film, giving it a nostalgic touch. The woman, illuminated by the soft glow of nearby streetlights or neon signs, stands out, her attire echoing modern urban fashion yet juxtaposed with the retro feel of the photograph. The surrounding city elements, such as dimly lit alleyways, glowing storefronts, or passersby, add to the atmosphere, but she remains the central focus. Shadows play a significant role, adding depth and mystery to the composition. This image beautifully blends the spontaneity of instant camera photography with the allure of nighttime street style.	wide			
camera_11_0	Street style, a woman, tilt shift photography, photography, natural lighting 	Using the distinct technique of tilt-shift photography, this street style image captures a woman set against the urban sprawl. The tilt-shift effect renders a specific portion of the image in sharp focus, most likely the woman, while gradually blurring the surroundings. This creates a miniature or 'toy-like' appearance to the scene. Bathed in natural lighting, she stands out vividly, her attire reflecting contemporary urban fashion. The city around her, with its buildings, roads, and perhaps moving vehicles, takes on a surreal, almost diorama-like quality due to the selective focus. This image is a blend of modern street style and the whimsical artistry of tilt-shift photography, offering a fresh and enchanting perspective on city life.	wide			
crowd_0_0	two teddy bears in a library. Studious concentration. Piles of books. University of Washington. Wooden desks, stained glass windows, a globe. Medium shot, upper body. Soft light filtering through the windows, detailed texture of the books.	Wide photo set within the University of Washington's library. Two teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting.	wide			
crowd_1_0	Wide photo set within the University of Washington's library. Three teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting. Do not change the prompt.	Wide photo set within the University of Washington's library. Three teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting.	wide			
crowd_2_0	Wide photo set within the University of Washington's library. 4 teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting. Do not change the prompt.	Wide photo set within the University of Washington's library. Four teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting.	wide			
crowd_3_0	Wide photo set within the University of Washington's library. 5 teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting. Do not change the prompt.	Wide photo set within the University of Washington's library. Five teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting.	wide			
crowd_4_0	Wide photo set within the University of Washington's library. 25 teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting. Do not change the prompt.	Wide photo set within the University of Washington's library. 25 teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting.	wide			
crowd_5_0	Wide photo set within the University of Washington's library. 100 teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting. Do not change the prompt.	Wide photo set within the University of Washington's library. 100 teddy bears, distinct in color and appearance, appear as if they are deeply engrossed in their academic pursuits. They are surrounded by neat stacks of books with meticulous details on wooden desks that reflect the library's rich history. The room's ambiance is brought to life by the stained glass windows, allowing a soft light to seep in and highlight the texture and content of the books. A vintage globe stands prominently on one of the desks, adding to the academic environment. The medium shot focuses on the teddy bears' upper bodies, skillfully juxtaposing the charm of the teddies with the solemnity of the library setting.	wide			
crowd_6_0	crowded scene, time square, counting, new year, 2024, exciting, photorealistic, with text "Happy New Year" "2024"	Photorealistic scene capturing the heart of Times Square during the exhilarating New Year's Eve countdown ushering in 2024. The area is densely packed with jubilant individuals, their faces reflecting the joy and optimism of welcoming a new year. Skyscrapers adorned with brilliant neon signs and screens add to the ambiance, painting the night with a myriad of colors. Central to the festivities is the New Year's Eve ball, steadily descending to mark the transition. Dominating the visual landscape, a grand digital screen prominently displays the messages 'Happy New Year' and '2024', symbolizing the collective celebration and the dawn of new possibilities.	wide			
crowd_7_0	great Gatsby party, crowd of people dancing outdoors, colorful fireworks, night sky, highly detailed	Nighttime photo inspired by a 'Great Gatsby' themed party. The scene is alive with a crowd of elegantly dressed individuals dancing with fervor on an expansive outdoor lawn. Women in flapper dresses and feathered headbands move gracefully, while men in tuxedos and slicked-back hair exude 1920s sophistication. The energy of the Roaring Twenties is palpable. Above, the night sky is illuminated by a spectacular display of colorful fireworks, their bursts and patterns reflecting the exuberance of the era. Every detail, from the twinkling lights decorating the trees to the vintage cars parked in the distance, adds depth and authenticity to this lavish celebration.	wide			
crowd_8_0	Seven friends celebrating Holi. Joy and colors. Color powder. Mumbai's Juhu Beach. Morning in 2010. Other revelers, the Arabian Sea, a skyline. Wide shot, full body. Bright sunlight, color powder frozen mid-air, high saturation.	Photo taken in 2010 on Mumbai's Juhu Beach during the Holi festival. Seven friends of diverse genders and descents are immersed in joy and colors, with vibrant color powder thrown all around them. Their expressions are filled with happiness and enthusiasm. The backdrop features other revelers celebrating, the vast Arabian Sea, and Mumbai's skyline in the distance. Captured in a wide shot, the full bodies of the friends are visible, with the color powder frozen mid-air, creating a dynamic and lively scene. The bright morning sunlight amplifies the colors, resulting in a high saturation that encapsulates the essence of the festival.	wide			
crowd_9_0	large logo "CVPR 2048", extremely crowded scene, Seattle, Space Needle, international conference, computer vision and pattern recognition, people mountain people sea, many students with backpack, many researchers, photorealistic, low angle view from the crowd	Photorealistic low angle perspective from within the throngs attending the CVPR 2048 international conference in Seattle. As the viewer's gaze rises, the iconic Space Needle stands tall against the sky, surrounded by the city's distinctive skyline. The crowd is a diverse mix of enthusiastic students donning backpacks and seasoned researchers deep in conversation, all gathered for this monumental event in the field of computer vision and pattern recognition. The ambient noise of discussions, networking, and the occasional laughter fills the air. A large, unmissable logo reading 'CVPR 2048' is visible, emphasizing the grandeur and importance of the event. This view, taken from amidst the attendees, offers a firsthand experience of the conference's energy, scale, and significance.	wide			
crowd_10_0	logo "TLDR", and text on wall "Too Long, Didn't Reserve", extremely crowded scene, buying a burger, very long line, the chief was scared, photorealistic	Photorealistic visualization of a bustling urban burger eatery. The scene is dominated by a vast crowd, all eagerly waiting in an extended line, their faces a mix of anticipation and hunger. At the serving counter, the chef stands out, his face a portrait of surprise and mild distress, clearly unprepared for the surge of customers. Enhancing the ambiance of the place is its witty branding: a prominently displayed logo reading 'TLDR', and right beside it, a bold statement on the wall declares 'Too Long, Didn't Reserve'. The intricate details, from the expressions of the patrons to the playful branding, provide a snapshot of a restaurant that has unexpectedly become the hottest spot in town.	wide			
crowd_11_0	large logo "NBA" "Final", extremely crowded scene, people mountain people sea, animate style	Animate-style visual capturing the intensity of the 'NBA Final'. An expansive stadium is filled to the brim with fans who are rendered in the unique anime art style. Their eyes, large and expressive, gleam with excitement and anticipation, some even have tears of joy or tension. The crowd showcases a range of anime-inspired reactions – from clenched fists to open-mouthed shouts. On the basketball court, the players, also in anime style, are depicted with exaggerated, dynamic poses, and their swift moves are accentuated by motion streaks. Vibrant colors dominate the scene, and sharp contrasts bring out the dynamism of the moment. Floating prominently above the scene are the stylized logos 'NBA' and 'Final', their designs harmonizing perfectly with the anime aesthetic. This image encapsulates the passion of the finals through the distinct lens of anime.	wide			
motiongraphic_0_0	draw a cartoon storyboard for the super duper sunflower hedgehog, one day from morning to night	A wide cartoon storyboard capturing a day in the life of the 'Super Duper Sunflower Hedgehog'. Panel 1: Morning - The sunflower hedgehog wakes up, stretching its petals against a backdrop of a rising sun. Its spines are tiny sunflower stems, and it looks refreshed. Panel 2: Midday - The sunflower hedgehog is seen helping other plants by providing them shade with its large sunflower head, showcasing its super nature. Birds and butterflies hover around, grateful for the shelter. Panel 3: Afternoon - Our hero is on a playful chase with a butterfly, rolling around a meadow, leaving a trail of sunflower seeds behind. Panel 4: Evening - As the sun sets, the sunflower hedgehog sits atop a hill, looking at the horizon, reflecting the golden hues of the setting sun. Stars begin to twinkle as night approaches. Panel 5: Night - The sunflower hedgehog, under a starry sky, curls up to sleep, with tiny fireflies illuminating its petals, ending its super duper day.	wide			
motiongraphic_1_0	create a 3 panel sequence for a dog changing its facial emotion from happy to sad to disappointed	A wide 3-panel sequence depicting the changing emotions of a dog. Panel 1: The dog has a joyful expression, its tail wagging and tongue hanging out, eyes sparkling with happiness. Panel 2: The dog's mood shifts; its ears droop, eyes become sadder, and the overall demeanor is one of sorrow. Panel 3: The dog's expression becomes more nuanced, showing a mix of sadness and resignation, representing disappointment. Its eyes look to the side, avoiding direct gaze, and the set of its mouth indicates mild frustration. The sequence effectively conveys the progression of the dog's emotions.	wide			
motiongraphic_2_0	an image with 3 panels to show step-by-step instructions of replacing a car tire	A wide image divided into 3 panels demonstrating step-by-step instructions for replacing a car tire. Panel 1: A car with a flat tire, tools like a jack and a wrench laid out, captioned 'Prepare Tools & Lift Car'. Panel 2: An Caucasian man with a tan complexion using a wrench to remove the lug nuts and taking off the flat tire, captioned 'Remove Flat Tire'. Panel 3: The same man placing the spare tire on the car and tightening the lug nuts, with the caption 'Install Spare Tire'. The design is clear, concise, and visually instructive.	wide			
motiongraphic_3_0	generate 4 panels for simple instruction on how to use GPT4	Four-panel cartoon sequence for GPT-4 instructions. Panel 1: A computer screen displaying the GPT-4 logo. Caption: '1. Open GPT-4'. Panel 2: A close-up of a user's hand typing a question into a text box. Caption: '2. Type your query'. Panel 3: A loading symbol next to the GPT-4 logo on the screen. Caption: '3. Wait a moment'. Panel 4: A happy user reading the AI-generated response on the screen. Caption: '4. Read the answer'.	wide			
motiongraphic_4_0	An illustration of 5 tips to improve your mental health. 1. Sleep well; 2. Eat well; 3. Excercise; 4. Make friends; 5. Get a pet.	Illustration depicting 5 tips to enhance mental health. The scene is divided into five sections. 1) A peaceful bedroom with a person sleeping soundly under a starry night sky to represent 'Sleep well'. 2) A dining table filled with nutritious foods like fruits, vegetables, and whole grains to symbolize 'Eat well'. 3) A person jogging in a park during sunrise, embodying 'Exercise'. 4) A group of diverse individuals laughing and chatting in a cozy setting, illustrating 'Make friends'. 5) A happy individual cuddling with a variety of pets like a dog, cat, and bird, showcasing 'Get a pet'.	wide			
motiongraphic_5_0	Four-panel cartoon sequence focused on DALL-E 3 image creation. Panel 1: "1. Access DALL-E 3". Panel 2: "2. Describe your imagination". Panel 3: "3. DALL-E 3 crafts your vision". Panel 4: "4. Revel in your AI masterpiece!". 	Four-panel cartoon sequence emphasizing DALL-E 3's image creation process. Panel 1: A sleek computer interface with the vibrant DALL-E 3 logo. Caption: '1. Access DALL-E 3'. Panel 2: A user's hand hovering over a keyboard, ready to type a description. Caption: '2. Describe your imagination'. Panel 3: An animated computer cursor turning into a magical wand, sprinkling stars over the DALL-E 3 logo. Caption: '3. DALL-E 3 crafts your vision'. Panel 4: A user, eyes wide in amazement, looks at a stunning AI-generated image on the screen. Caption: '4. Revel in your AI masterpiece!'.	wide			
storybook_0_0	A storybook page with title "The Three Little Pigs" and text "Three little pigs each build a house: one of straw, one of sticks, and one of bricks. The big bad wolf comes along and, with a huff and a puff, blows down the first two houses. However, he can't blow down the brick house. The first two pigs take refuge with the third, and together they outsmart the wolf." 	Watercolor painting of a beautifully designed storybook page. At the top, 'The Three Little Pigs' title is written with embellishments. The story is described below: 'Three little pigs each build a house: one of straw, one of sticks, and one of bricks. The big bad wolf comes along and, with a huff and a puff, blows down the first two houses. However, he can't blow down the brick house. The first two pigs take refuge with the third, and together they outsmart the wolf.' The page's edges have subtle watercolor stains.	wide			
storybook_1_0	A storybook page with title "Goldilocks and the Three Bears" and text "A little girl named Goldilocks stumbles upon a house in the woods. Inside, she finds three bowls of porridge: one too hot, one too cold, and one just right. She then finds three chairs and three beds, testing each one. Eventually, she falls asleep in the smallest bed. The three bears, who live in the house, come home and notice someone has been there. They find Goldilocks asleep, and she wakes up in fright and runs away." 	Photo of a storybook page opened to the title 'Goldilocks and the Three Bears'. The page has a detailed illustration of Goldilocks looking curiously at three bowls of porridge. The text reads: 'A little girl named Goldilocks stumbles upon a house in the woods. Inside, she finds three bowls of porridge: one too hot, one too cold, and one just right. She then finds three chairs and three beds, testing each one. Eventually, she falls asleep in the smallest bed. The three bears, who live in the house, come home and notice someone has been there. They find Goldilocks asleep, and she wakes up in fright and runs away.'	wide			
storybook_2_0	create a wide 16:9 poster for paper "Hierarchical Text-Conditional Image Generation with CLIP Latents", with keywords "abstract", "model", "prior", "decoder", and "results", with a method diagram in the center 	Photo of a wide 16:9 academic poster for the paper titled 'Hierarchical Text-Conditional Image Generation with CLIP Latents'. The background is a subtle gradient of blue, transitioning from a deep navy at the bottom to a lighter shade at the top. Central to the poster is a method diagram, intricately detailing the process involving the abstract, model, prior, decoder, and results. The diagram has labeled arrows and boxes, each highlighting a keyword: 'abstract', 'model', 'prior', 'decoder', and 'results'. The title of the paper is prominently displayed at the top in bold white letters, and at the bottom, there's a brief summary of the findings and implications of the research. The overall design is professional, sleek, and informative, catering to an academic audience.	wide			
storybook_3_0	create a wide 16:9 poster for paper "Language models are few-shot learners", with a small simple line plot in the center, with section keywords "abstract", "model", "in-context", "few-shot", and "NeurIPS 2020" in different locations	Wide 16:9 poster showcasing the paper titled 'Language models are few-shot learners'. The background is a soft gradient of academic blue. In the center, there's a small, simple line plot, perhaps representing some data from the paper. The plot has a white background with a black grid. Around the plot in various locations and orientations are section keywords. 'Abstract' is at the top-left corner in bold, 'Model' is at the bottom-right in italic, 'In-context' is placed diagonally near the top-right, 'Few-shot' is at the bottom-left, and 'NeurIPS 2020' stands prominently at the top-center. The overall design is clean and academic, suitable for a conference presentation.	wide			
storybook_4_0	generate a menu. including "Boba Milk Tea $4.69", "Honey Green Tea $2.89", "Season Special $4.39"	3D render of a stylish menu stand situated on a wooden table surface. It lists three items: 'Boba Milk Tea' with a price of $4.69, 'Honey Green Tea' for $2.89, and the 'Season Special' available for $4.39. The aesthetic of the menu is chic and alluring.	wide			
storybook_5_0	generate a menu for a fastfood restaurant. including "Double Cheeseburger $1.69", "Baked Apple Pie $0.89", "Chicken Sandwich $4.39", "Sundae $1.49"  	A photo of a colorful fast-food restaurant menu board. It prominently features 'Double Cheeseburger' with a price tag of '$1.69'. Further down, 'Chicken Sandwich' is displayed for '$4.39'. The dessert section highlights the 'Baked Apple Pie' for '$0.89' and a delicious 'Sundae' priced at '$1.49'. The background of the menu has a mix of vibrant colors and appetizing food imagery.	wide			
gui_0_0	create an industrial drafting on a wide white paper, with a title in the top center	A wide white paper displays a detailed industrial drafting. Precision lines, measurements, and technical symbols dominate the paper, showcasing the intricate design of a machinery component. In the top center of the paper, a bold title reads 'INDUSTRIAL DESIGN'. The entire setup is placed on a wooden table, with pencils and a ruler beside the drafting.	wide			
gui_1_0	create a wide blueprint book page for an industrial drawing draft, with title "draft v1". 	A wide blueprint book page showing an intricate industrial drawing draft. The layout consists of detailed diagrams, measurements, and notes relating to the design. The paper has a slightly weathered look, giving it an authentic feel. Prominently at the top, the title 'draft v1' is written in bold, vintage-styled lettering, and the overall look of the page conveys a sense of precision and professionalism. 	wide			
gui_2_0	create a floor plan with text "living room" and "bedroom" 	A floor plan sketch illustrating the layout of a house with labeled rooms. The plan includes a spacious living room adjacent to a cozy bedroom. Both rooms are clearly marked with the text 'living room' and 'bedroom'. The living room features an open concept, while the bedroom has an attached bathroom. The overall design is minimalist and functional. 	wide			
gui_3_0	create a floor plan with master bedroom sized "14'7 x 13'10"	Drawing of a house floor plan where the focal point is a master bedroom with dimensions of 14'7 x 13'10. The plan should be labeled and include doors and windows. 	wide			
gui_4_0	create a cellphone GUI screen for online flight booking with a "Search Flights" button 	An online flight booking mobile interface. The app's logo is displayed at the top alongside a search bar. Beneath, there are input areas for the departure city, destination city, date of travel, and passenger count. At the bottom, there's a noticeable 'Search Flights' button. Icons of airplanes and calendars are present adjacent to their relevant fields. The design has a calming palette of blues and whites for easy user interaction. 	wide			
gui_5_0	Photo of a website GUI interface designed for online shopping, with "deal", "cart", "Menu" sections 	Photo of a crisp and modern website GUI interface tailored for online shopping. The web page is displayed on a desktop computer monitor and a laptop screen, both of which are positioned in the center of the composition. The website's layout showcases three prominent sections labeled 'deal', 'cart', and 'Menu'. The 'deal' section flaunts some discounted items with price tags, while the 'cart' section provides a visual representation of items ready for checkout. The 'Menu' is presented as a dropdown or sidebar, allowing users to navigate through different product categories. The background of the image is a light neutral tone, emphasizing the screens and the vibrant interface.	wide			
poster_0_0	create a 16:9 wide ads poster for espresso. The poster should have a cup of espresso in the center, with title "espresso", and "made in italy", "1995", "about", "contents", "source", Italian map and flag 	Wide advertisement poster in a 16:9 ratio, showcasing espresso. In the center, there's a steaming cup of espresso on a saucer with a small spoon beside it. Above the cup, the title 'espresso' is written in bold, elegant letters. Below the cup, the phrases 'made in Italy' and '1995' are written, capturing the essence of the drink's origin and history. To the left of the cup, there's a section labeled 'about' with a brief description of espresso, and to the right, there's a section labeled 'contents' detailing the ingredients. Beneath these sections, there's another labeled 'source' explaining where the beans come from. In the background, faintly overlaying the entire poster, is a map of Italy, and in one corner, the Italian flag waves proudly. 	wide			
poster_1_0	create a 16:9 wide ads poster for a car. The poster should a stylish blue car in the center, with title "New 2024 Model", and "contact us", "Best", "Luxury" in different panels. 	A 16:9 wide ads poster showcasing a stylish blue car positioned prominently in the center. The car gleams under soft lighting, highlighting its sleek design and polished finish. Above the car, in bold white letters, the title reads 'New 2024 Model'. To the left and right of the car, there are panels with text. The left panel displays the words 'contact us' in an inviting font, perhaps with a phone icon. The top right panel has the word 'Best' written in golden letters, conveying quality and superiority. The bottom right panel carries the word 'Luxury', written in an elegant cursive font, evoking feelings of opulence and exclusivity. 	wide			
poster_2_0	create a 16:9 wide poster for a conference in Vienna. The poster has title "ICLR 2024" in top, and should include "the International Conference on Learning Representations", "May 2024", "Vienna Austria" 	Wide poster for a machine learning conference set in Vienna. The background showcases Vienna's historic architecture, blending seamlessly with futuristic digital patterns symbolizing machine learning. At the top, the title 'ICLR 2024' is written in bold, modern typography. Just below, the words 'the International Conference on Learning Representations' are written in a slightly smaller font. At the bottom, 'May 2024' and 'Vienna Austria' are inscribed, reminding viewers of the date and location. The color palette consists of muted blues and golds, providing a contrast between the past and the future. 	wide			
poster_3_0	create a 16:9 wide poster for a computer vision conference in Seattle. The poster should include "Computer Vision and Pattern Recognition", "CVPR 2024", "June 2024" 	Photo of the Seattle skyline at dusk with iconic landmarks like the Space Needle visible. Overlaying the skyline, translucent digital graphics represent neural networks and pattern grids. The title 'Computer Vision and Pattern Recognition' is boldly displayed at the top in modern, sleek fonts. Below it, 'CVPR 2024' is highlighted. Further down, 'June 2024' and 'Seattle Convention Center' are elegantly positioned. The color palette consists of cool blues and tech-inspired neon accents, capturing the essence of the tech conference. 	wide			
poster_4_0	create a book cover on a wide background. The cover should have a large piano in the center, with title "seattle symphony", and "Benaroya hall", "2023", "silver gala", "25 years" in different locations 	Wide book cover featuring a large, glossy black grand piano placed centrally. Above the piano, in bold, elegant letters, is the title 'Seattle Symphony'. Just below the piano, in a slightly smaller but equally elegant font, is 'Benaroya Hall'. In the bottom left corner, the words '2023' are printed in a modern typeface, while on the bottom right corner, 'Silver Gala' stands out in a shimmering silver font. Just above the 'Silver Gala' text, '25 years' is written in a classic, timeless font, signifying the importance of the anniversary. 	wide			
poster_5_0	create a book cover on a wide background. The cover should have a stylish robot in the center, with title "Recent Advances in Multimodal Foundation Models", and "2023", "springer", "first edition" in different locations.	Wide book cover background. In the center, a stylish robot stands confidently, reflecting the latest technology and design. At the top of the cover, in bold, legible letters is the title 'Recent Advances in Multimodal Foundation Models'. Positioned strategically around the robot are the texts '2023', 'Springer', and 'First Edition'. Each of these texts vary in size but are clearly readable, and they add to the overall professional design of the book cover.	wide			
